optimizer,seed,trial,J,CoT,forwarddistance,lateraldrift,meanvx,fell,stabilityindex,rmsrolldeg,rmspitchdeg,opttimesec,simtimesec,totaltimesec,gc,gp,omegaswing,omegastance,mu,xofffront,xoffhind,sigmaN
BO_incline15,1,12,-50.0,1000.0,0.0006057500703021602,0.004804311280210332,0.0,1,1000.0,1000.0,1000.0,0.8475964069366455,0.03893017768859863,0.8865265846252441,12.0,10.0,25.0,25.0,0.05,0.1,0.5,10.0
BO_incline15,1,13,-50.0,1000.0,0.0005964924844392308,0.004800176318443934,0.0,1,1000.0,1000.0,1000.0,0.8924760818481445,0.03158926963806152,0.924065351486206,4.0,10.0,10.0,25.0,0.05,0.35,1.0,10.0
BO_incline15,1,14,-50.0,1000.0,0.0005796240664688727,0.004744779048778764,0.0,1,1000.0,1000.0,1000.0,1.3690571784973145,0.03947734832763672,1.4085345268249512,4.0,25.0,10.0,60.0,0.5,0.1,1.0,10.0
BO_incline15,1,15,-50.0,1000.0,0.0005225615557452913,0.004750213586010931,0.0,1,1000.0,1000.0,1000.0,1.3426377773284912,0.0351560115814209,1.377793788909912,4.0,10.0,25.0,25.0,0.5,0.1,0.5,10.0
BO_incline15,1,16,-50.0,1000.0,0.0006053134510225974,0.004805512972313718,0.0,1,1000.0,1000.0,1000.0,1.2166738510131836,0.045614004135131836,1.2622878551483154,4.0,10.0,10.0,25.0,0.05,0.1,1.0,0.1
BO_incline15,1,17,-50.0,1000.0,0.0005242738280439016,0.0047471279781440235,0.0,1,1000.0,1000.0,1000.0,0.8820352554321289,0.03516793251037598,0.9172031879425049,12.0,10.0,25.0,60.0,0.05,0.1,1.0,10.0
BO_incline15,1,18,-50.0,1000.0,0.0004840836403884468,0.004743448432829525,0.0,1,1000.0,1000.0,1000.0,0.9844517707824707,0.03615999221801758,1.0206117630004883,12.0,25.0,10.0,25.0,0.05,0.1,0.5,10.0
BO_incline15,1,19,-50.0,1000.0,0.0006175872886641626,0.00479616518555681,0.0,1,1000.0,1000.0,1000.0,1.2785470485687256,0.0424199104309082,1.3209669589996338,4.0,25.0,25.0,25.0,0.05,0.35,1.0,10.0
BO_incline15,1,20,-50.0,1000.0,0.0005389215445024444,0.004750494906723747,0.0,1,1000.0,1000.0,1000.0,1.4022691249847412,0.049076080322265625,1.4513452053070068,12.0,10.0,10.0,25.0,0.5,0.35,1.0,10.0
BO_incline15,1,21,-50.0,1000.0,0.000540656555727132,0.004747564192249358,0.0,1,1000.0,1000.0,1000.0,1.1278135776519775,0.03564333915710449,1.163456916809082,12.0,10.0,10.0,60.0,0.05,0.35,0.5,0.1
BO_incline15,1,22,-50.0,1000.0,0.0006529315194870831,0.0047971882179897235,0.0,1,1000.0,1000.0,1000.0,1.2820336818695068,0.0449221134185791,1.326955795288086,12.0,10.0,25.0,25.0,0.5,0.1,1.0,0.1
BO_incline15,1,23,-50.0,1000.0,0.0005038166168928724,0.004747341668039846,0.0,1,1000.0,1000.0,1000.0,1.1459643840789795,0.059285640716552734,1.2052500247955322,4.0,10.0,25.0,60.0,0.05,0.35,0.5,10.0
BO_incline15,1,24,-50.0,1000.0,0.0006290304699085159,0.004807168237319606,0.0,1,1000.0,1000.0,1000.0,0.9778563976287842,0.07465291023254395,1.0525093078613281,12.0,25.0,10.0,60.0,0.05,0.35,1.0,0.1
BO_incline15,1,25,-50.0,1000.0,0.0005478180470870841,0.004738796392203814,0.0,1,1000.0,1000.0,1000.0,1.088731288909912,0.07535219192504883,1.164083480834961,12.0,10.0,25.0,25.0,0.05,0.35,0.5,0.1
BO_incline15,1,26,-50.0,1000.0,0.0006541919726052184,0.004797182313617642,0.0,1,1000.0,1000.0,1000.0,1.7415287494659424,0.10317635536193848,1.8447051048278809,4.0,10.0,10.0,60.0,0.5,0.35,0.5,10.0
BO_incline15,1,27,-50.0,1000.0,0.0006800595691138463,0.004799724194721236,0.0,1,1000.0,1000.0,1000.0,1.0324668884277344,0.06662678718566895,1.0990936756134033,12.0,25.0,25.0,60.0,0.5,0.35,1.0,10.0
BO_incline15,1,28,-50.0,1000.0,0.000565567452947777,0.0047430437917967,0.0,1,1000.0,1000.0,1000.0,1.3832542896270752,0.06583595275878906,1.4490902423858643,4.0,25.0,10.0,25.0,0.5,0.35,0.5,0.1
BO_incline15,1,29,-50.0,1000.0,0.0006712105876737757,0.004800869798366441,0.0,1,1000.0,1000.0,1000.0,1.4764249324798584,0.04078555107116699,1.5172104835510254,12.0,25.0,10.0,25.0,0.5,0.1,0.5,10.0
BO_incline15,1,30,-50.0,1000.0,0.0006228763807295914,0.004799432573120544,0.0,1,1000.0,1000.0,1000.0,0.9098706245422363,0.03807640075683594,0.9479470252990723,4.0,25.0,25.0,60.0,0.5,0.1,0.5,0.1
BO_incline15,1,31,-50.0,1000.0,0.0006067035541641478,0.004804954045416253,0.0,1,1000.0,1000.0,1000.0,0.570429801940918,0.048039913177490234,0.6184697151184082,4.0,10.0,10.0,60.0,0.5,0.1,1.0,0.1
BO_incline15,1,32,-50.0,1000.0,0.0005285651997566137,0.004749443668364366,0.0,1,1000.0,1000.0,1000.0,0.7849118709564209,0.031623125076293945,0.8165349960327148,4.0,25.0,10.0,60.0,0.05,0.35,0.5,10.0
BO_incline15,1,33,-50.0,1000.0,0.0007008482359498842,0.0047935290756461295,0.0,1,1000.0,1000.0,1000.0,0.7162315845489502,0.03719067573547363,0.7534222602844238,4.0,25.0,25.0,25.0,0.05,0.35,1.0,0.1
BO_incline15,1,34,-50.0,1000.0,0.0005383696123833851,0.00475060124451388,0.0,1,1000.0,1000.0,1000.0,0.7894070148468018,0.051012516021728516,0.8404195308685303,4.0,25.0,10.0,60.0,0.05,0.1,1.0,10.0
BO_incline15,1,35,-50.0,1000.0,0.0005187290402905506,0.0047478480769799,0.0,1,1000.0,1000.0,1000.0,0.7958016395568848,0.04546189308166504,0.8412635326385498,12.0,25.0,10.0,25.0,0.05,0.1,1.0,0.1
BO_incline15,1,36,-50.0,1000.0,0.0004950752261426241,0.0047409215557361745,0.0,1,1000.0,1000.0,1000.0,0.7560970783233643,0.03980851173400879,0.795905590057373,12.0,10.0,10.0,60.0,0.5,0.35,1.0,10.0
BO_incline15,1,37,-50.0,1000.0,0.0005396937381870426,0.004747238413163998,0.0,1,1000.0,1000.0,1000.0,1.1750476360321045,0.041451215744018555,1.216498851776123,4.0,10.0,25.0,25.0,0.05,0.1,1.0,10.0
BO_incline15,1,38,-50.0,1000.0,0.0004985653410064742,0.004752248641445589,0.0,1,1000.0,1000.0,1000.0,1.9651236534118652,0.05200791358947754,2.0171315670013428,4.0,10.0,25.0,60.0,0.05,0.1,0.5,0.1
BO_incline15,1,39,-50.0,1000.0,0.0006126225310534905,0.00480285618258142,0.0,1,1000.0,1000.0,1000.0,0.8860907554626465,0.0488438606262207,0.9349346160888672,4.0,25.0,25.0,60.0,0.5,0.1,1.0,10.0
BO_incline15,1,40,-50.0,1000.0,0.0004968178903616071,0.004754787037859946,0.0,1,1000.0,1000.0,1000.0,1.421661376953125,0.03957080841064453,1.4612321853637695,12.0,10.0,25.0,25.0,0.5,0.35,0.5,0.1
BO_incline15,1,41,-50.0,1000.0,0.0006587236805683377,0.004799980152574879,0.0,1,1000.0,1000.0,1000.0,2.2333743572235107,0.049951791763305664,2.2833261489868164,12.0,25.0,25.0,60.0,0.05,0.1,0.5,10.0
BO_incline15,1,42,-50.0,1000.0,0.0006137741605904972,0.004797528162683299,0.0,1,1000.0,1000.0,1000.0,1.7063403129577637,0.0577089786529541,1.7640492916107178,12.0,10.0,10.0,60.0,0.05,0.1,0.5,10.0
BO_incline15,1,43,-50.0,1000.0,0.0005988561879278326,0.004799961819260297,0.0,1,1000.0,1000.0,1000.0,1.5536491870880127,0.07404160499572754,1.6276907920837402,4.0,25.0,25.0,25.0,0.5,0.1,0.5,10.0
BO_incline15,1,44,-50.0,1000.0,0.0006074416838703779,0.004805288624525698,0.0,1,1000.0,1000.0,1000.0,1.400463342666626,0.06598806381225586,1.4664514064788818,4.0,10.0,10.0,60.0,0.05,0.1,0.5,0.1
BO_incline15,1,45,-50.0,1000.0,0.0006231945502437027,0.004801166067864799,0.0,1,1000.0,1000.0,1000.0,2.180943250656128,0.0635080337524414,2.2444512844085693,12.0,25.0,25.0,60.0,0.5,0.35,1.0,0.1
BO_incline15,1,46,-50.0,1000.0,0.0005647884114055827,0.0047426969432509325,0.0,1,1000.0,1000.0,1000.0,1.631232738494873,0.04789137840270996,1.679124116897583,4.0,10.0,10.0,25.0,0.5,0.35,1.0,0.1
BO_incline15,1,47,-50.0,1000.0,0.0005832555699188472,0.0047466118536592114,0.0,1,1000.0,1000.0,1000.0,1.8576769828796387,0.04839062690734863,1.9060676097869873,12.0,25.0,10.0,25.0,0.05,0.35,1.0,0.1
BO_incline15,1,48,-50.0,1000.0,0.0005475659571205645,0.004738845162512458,0.0,1,1000.0,1000.0,1000.0,1.6015124320983887,0.042151451110839844,1.6436638832092285,12.0,25.0,10.0,60.0,0.5,0.1,0.5,0.1
BO_incline15,1,49,-50.0,1000.0,0.0006139545578612689,0.004801153967553703,0.0,1,1000.0,1000.0,1000.0,1.3390331268310547,0.025444984436035156,1.3644781112670898,12.0,25.0,25.0,25.0,0.5,0.35,0.5,10.0
BO_incline15,1,50,-50.0,1000.0,0.0006639067865743079,0.004798049443292154,0.0,1,1000.0,1000.0,1000.0,1.615495204925537,0.04842710494995117,1.6639223098754883,12.0,10.0,25.0,60.0,0.5,0.1,1.0,10.0
BO_incline15,1,51,-50.0,1000.0,0.0004939136170698877,0.004749117078555833,0.0,1,1000.0,1000.0,1000.0,2.149296998977661,0.05244255065917969,2.201739549636841,12.0,10.0,10.0,25.0,0.05,0.1,0.5,10.0
BO_incline15,1,52,-50.0,1000.0,0.0005976604199692542,0.0047995837923224365,0.0,1,1000.0,1000.0,1000.0,1.3582830429077148,0.04458808898925781,1.4028711318969727,12.0,10.0,25.0,60.0,0.05,0.1,1.0,0.1
BO_incline15,1,53,-50.0,1000.0,0.0004940715810863971,0.004741685674041573,0.0,1,1000.0,1000.0,1000.0,1.4654245376586914,0.046874046325683594,1.512298583984375,4.0,25.0,10.0,25.0,0.5,0.1,0.5,0.1
BO_incline15,1,54,-50.0,1000.0,0.0006162361751823881,0.004803430033543683,0.0,1,1000.0,1000.0,1000.0,1.6428608894348145,0.04593396186828613,1.6887948513031006,4.0,25.0,25.0,25.0,0.05,0.1,1.0,0.1
BO_incline15,1,55,-50.0,1000.0,0.0004924372261680531,0.004752534090070837,0.0,1,1000.0,1000.0,1000.0,1.2143399715423584,0.05417323112487793,1.2685132026672363,12.0,25.0,10.0,25.0,0.5,0.1,1.0,10.0
BO_incline15,1,56,-50.0,1000.0,0.0005143886906668691,0.004744770566751151,0.0,1,1000.0,1000.0,1000.0,1.2964987754821777,0.032952070236206055,1.3294508457183838,12.0,10.0,25.0,25.0,0.05,0.35,1.0,10.0
BO_incline15,1,57,-50.0,1000.0,0.0005094045776368924,0.004746245362483296,0.0,1,1000.0,1000.0,1000.0,1.5951459407806396,0.06586718559265137,1.661013126373291,4.0,10.0,25.0,25.0,0.5,0.35,0.5,10.0
BO_incline15,1,58,-50.0,1000.0,0.0006313673131290135,0.004808512886949332,0.0,1,1000.0,1000.0,1000.0,1.4323091506958008,0.0651710033416748,1.4974801540374756,4.0,25.0,10.0,60.0,0.05,0.35,0.5,10.0
BO_incline15,1,59,-50.0,1000.0,0.0007007071801814256,0.004793571114885722,0.0,1,1000.0,1000.0,1000.0,1.436141014099121,0.05819892883300781,1.494339942932129,4.0,10.0,25.0,60.0,0.5,0.35,1.0,10.0
BO_incline15,1,60,-50.0,1000.0,0.0005271586641702579,0.004756754239703673,0.0,1,1000.0,1000.0,1000.0,1.7375352382659912,0.06174492835998535,1.7992801666259766,12.0,25.0,25.0,60.0,0.05,0.35,0.5,10.0
BO_incline15,1,61,-50.0,1000.0,0.00065917559906739,0.004795145861437374,0.0,1,1000.0,1000.0,1000.0,1.660081148147583,0.06161069869995117,1.7216918468475342,12.0,10.0,10.0,60.0,0.5,0.1,1.0,0.1
BO_incline15,1,62,-50.0,1000.0,0.00048499359980469254,0.004749599432972624,0.0,1,1000.0,1000.0,1000.0,1.559751272201538,0.06475543975830078,1.6245067119598389,4.0,10.0,10.0,60.0,0.05,0.35,1.0,10.0
