method,seed,event,fell,n_win,dur,J,J_pitch,J_roll,J_vy,mean_vx,const,V_old
grid,2,21,1,48,0.48,5.736535079571961,0.4439514008623299,6.581347242805905,,-0.37540680641836843,-1.2887635640962742,-2.0
grid,2,22,1,96,0.96,2.2727806791706184,0.62294773159462,2.9385965116722725,,0.5016580223905884,-1.2887635640962742,-2.0
grid,2,23,1,0,,,,,,,,-2.0
grid,2,24,1,0,,,,,,,,-2.0
grid,2,25,1,6,0.06,17.043991777769758,4.053115302460562,14.279640039405471,,0.022298493615390602,-1.2887635640962742,-2.0
grid,2,26,1,79,0.79,2.2999782827903594,0.3264795292194552,3.2622623176671786,,0.6574568697752621,-1.2887635640962742,-2.0
grid,2,27,1,6,0.06,15.792200144913199,2.743819193416791,14.337144515592682,,-0.14603920239153595,-1.2887635640962742,-2.0
grid,2,28,1,0,,,,,,,,-2.0
grid,3,1,1,477,4.7700000000000005,-0.4899219200241416,0.039612384080170364,0.7592292599919623,,0.3077315528333725,-1.2887635640962742,-2.0
grid,3,2,1,1000,10.0,-0.8058846898511122,0.022237521100040663,0.4606413531451214,,-0.6099036247613168,-1.2887635640962742,-2.0
grid,3,3,1,166,1.6600000000000001,1.0960350688175244,0.2532079816763438,2.1315906512374547,,0.41341272745599567,-1.2887635640962742,-2.0
grid,3,4,1,1000,10.0,-0.8809041439960741,0.028323662531891634,0.37953575756830854,,-0.606445031852743,-1.2887635640962742,-2.0
grid,3,5,1,83,0.8300000000000001,2.314022852768419,0.3585413550945156,3.2442450617701777,,0.40575641433779325,-1.2887635640962742,-2.0
grid,3,6,1,92,0.92,2.2353774967241433,0.42387985888764607,3.1002612019327715,,0.2149266163676146,-1.2887635640962742,-2.0
grid,3,7,1,257,2.57,0.22545776676359686,0.17464011177630842,1.3395812190835628,,0.41880138518893484,-1.2887635640962742,-2.0
grid,3,8,1,1000,10.0,-0.7875413558862292,0.023257091748649705,0.47796511646139533,,-0.3589695095792834,-1.2887635640962742,-2.0
grid,3,9,1,231,2.31,0.3041143622380158,0.12190632285526005,1.4709716034790299,,0.28812807990164796,-1.2887635640962742,-2.0
grid,3,10,1,117,1.17,1.8280946829970726,0.42070903226238904,2.6961492148309576,,0.2217971412581084,-1.2887635640962742,-2.0
grid,3,11,1,258,2.58,0.1015494489849893,0.0934437229774792,1.2968692901037844,,0.41466087081926273,-1.2887635640962742,-2.0
grid,3,12,1,75,0.75,2.8300076334180586,0.6496590847842246,3.4691121127301083,,0.45926759295272024,-1.2887635640962742,-2.0
grid,3,13,1,79,0.79,2.65779145946797,0.43333761533464604,3.5132174082295977,,0.2901330170828918,-1.2887635640962742,-2.0
grid,3,14,1,92,0.92,2.622664829611992,0.11832626654570691,3.793102127162559,,0.043982253047184804,-1.2887635640962742,-2.0
grid,3,15,1,86,0.86,2.7843094252017107,0.5931455765697519,3.4799274127282325,,0.5740447990738735,-1.2887635640962742,-2.0
grid,3,16,1,322,3.22,-0.10309869085872836,0.09858944623057157,1.0870754270069742,,0.30459897795812885,-1.2887635640962742,-2.0
grid,3,17,1,780,7.8,-0.7813030812406887,0.023539794481668624,0.4839206883739169,,0.2539845117562023,-1.2887635640962742,-2.0
grid,3,18,1,184,1.84,0.5593226853764879,0.1163870507066838,1.7316991987660784,,0.22125894784107678,-1.2887635640962742,-2.0
grid,3,19,1,72,0.72,2.6644100008746054,0.21534672369674068,3.737826841274139,,0.14967575491347482,-1.2887635640962742,-2.0
grid,3,20,1,1000,10.0,-0.8448603080707908,0.058227119912315405,0.38567613611316803,,-0.6046862705892028,-1.2887635640962742,-2.0
grid,3,21,1,152,1.52,1.0528847356468851,0.24866612667601967,2.09298217306714,,0.35097905277739977,-1.2887635640962742,-2.0
grid,3,22,1,109,1.09,1.8133039599709664,0.4049754078847606,2.69709211618248,,0.5335723784952539,-1.2887635640962742,-2.0
grid,3,23,1,216,2.16,0.34132292976583023,0.150482824026465,1.4796036698356394,,0.35982028642050695,-1.2887635640962742,-2.0
grid,3,24,0,1000,10.0,-1.0131156345272423,0.020157302358541854,0.2554906272104901,,0.25285982701963683,-1.2887635640962742,-0.6570618602817906
grid,4,1,1,270,2.7,0.0743017407946871,0.11129918891603781,1.2517661159749236,,0.2834065217292407,-1.2887635640962742,-2.0
grid,4,2,1,689,6.890000000000001,-0.6370428622916079,0.04587293577988376,0.6058477660247826,,0.2802500729450541,-1.2887635640962742,-2.0
grid,4,3,1,663,6.63,-0.6004778596275816,0.05631580461723111,0.6319698998514616,,0.25584898402258066,-1.2887635640962742,-2.0
grid,4,4,1,1000,10.0,-0.9427854193183469,0.05356075562457553,0.2924173891533518,,0.2518790674461265,-1.2887635640962742,-2.0
grid,4,5,1,639,6.390000000000001,-0.6189257158595323,0.04825841143807156,0.6215794367986704,,0.2359375335871671,-1.2887635640962742,-2.0
grid,4,6,1,1000,10.0,-0.8358079896775169,0.018778793416500267,0.43417678100225704,,0.14314205033090055,-1.2887635640962742,-2.0
grid,4,7,1,486,4.86,-0.4402607194423299,0.06582376538263568,0.7826790792713086,,0.5041143612508694,-1.2887635640962742,-2.0
grid,4,8,1,1000,10.0,-0.8840346788168032,0.040217839031921124,0.36451104624755,,-0.34790413240351176,-1.2887635640962742,-2.0
grid,4,9,1,96,0.96,2.4463597825025927,0.1467492535638768,3.58837409303499,,0.1440336094957135,-1.2887635640962742,-2.0
grid,4,10,1,588,5.88,-0.6046252380813602,0.06342797061931615,0.6207103553955979,,0.2936998407087766,-1.2887635640962742,-2.0
grid,4,11,1,1000,10.0,-0.8615994297431862,0.0405345537494073,0.38662958060368074,,-0.5233818938199742,-1.2887635640962742,-2.0
grid,4,12,1,67,0.67,3.6105100433781683,0.20098209219939342,4.698291515275049,,0.0672656822623154,-1.2887635640962742,-2.0
grid,4,13,1,1000,10.0,-0.8800044982587807,0.05922047680954189,0.3495385890279516,,0.506990013617724,-1.2887635640962742,-2.0
