method,seed,event,onset,detect,latency,fell,V,tilt_rms,dist,false_alarm,request_t,compute_latency,trial_dist,coupling,w_swing,b
esc,3,12,109.87,110.97,1.0999999999999943,1,-2.0,33.850311344785226,0.9122228650602437,0,110.96000000000001,0.009999999999990905,116.53443327232917,8.727296511796641,11.10124284148501,10.0
esc,3,13,116.3,117.4,1.1000000000000085,1,-2.0,29.478393273435938,1.0802150614022636,0,117.39,0.010000000000005116,116.53443327232917,8.748267819554185,13.049799999999998,8.587681073301699
esc,3,14,125.81,125.91,0.09999999999999432,1,-2.0,25.889375801143863,0.9080562670918795,0,125.9,0.009999999999990905,116.53443327232917,8.260566842018033,14.998357158514985,9.325824107886769
esc,3,15,131.92000000000002,133.01,1.089999999999975,1,-2.0,15.037839385557882,2.4831087939888192,0,133.0,0.009999999999990905,116.53443327232917,7.4815658440788155,14.998357158514988,10.0
esc,3,16,143.28,144.37,1.0900000000000034,1,-2.0,36.20717591814888,0.9122866420330951,0,144.36,0.009999999999990905,116.53443327232917,6.758471862576142,13.049800000000005,10.0
esc,3,17,149.81,149.91,0.09999999999999432,1,-2.0,31.48293008796185,0.6596860931619659,0,149.9,0.009999999999990905,116.53443327232917,6.413573725558072,11.101242841485014,9.127138900345683
esc,3,18,154.76,155.81,1.0500000000000114,1,-2.0,18.86181141903512,1.5798542982204111,0,155.8,0.009999999999990905,116.53443327232917,6.600595318465492,11.101242841485009,8.676855311580272
esc,3,19,164.03,165.13,1.0999999999999943,1,-2.0,14.415599920735914,2.212211644666141,0,165.12,0.009999999999990905,116.53443327232917,7.236179606750065,13.049799999999998,10.0
esc,3,20,176.52,177.56,1.039999999999992,1,-2.0,23.271783825462713,1.4578689985780358,0,177.55,0.009999999999990905,116.53443327232917,8.037041539454362,14.998357158514985,10.0
esc,3,21,187.24,188.22,0.9799999999999898,1,-2.0,10.986962229557662,1.742688978451639,0,188.21,0.009999999999990905,116.53443327232917,8.646230484541327,14.998357158514992,10.0
esc,3,22,215.27,215.35,0.07999999999998408,1,-2.0,32.88458897001437,0.6485357468025796,0,215.34,0.009999999999990905,116.53443327232917,8.792226008714165,13.049800000000001,8.533282814216223
esc,3,23,221.0,221.09,0.09000000000000341,1,-2.0,28.00311577162269,0.7577852728430798,0,221.08,0.009999999999990905,116.53443327232917,8.409956727630629,11.101242841485014,9.541109763353193
esc,3,24,228.04,228.09,0.05000000000001137,1,-2.0,15.6457393944862,1.6742150770636783,0,228.08,0.009999999999990905,116.53443327232917,7.669803147491532,11.101242841485009,10.0
esc,3,25,236.72,237.89000000000001,1.170000000000016,1,-2.0,22.366277302592657,1.3835818109897957,0,237.88,0.010000000000019327,116.53443327232917,6.901657697249033,13.049799999999998,10.0
esc,3,26,246.27,246.75,0.47999999999998977,1,-2.0,41.715667794463606,0.6614933967559438,0,246.74,0.009999999999990905,116.53443327232917,6.447889008453118,14.998357158514985,8.949946429937985
esc,3,27,254.56,255.52,0.960000000000008,1,-2.0,22.372444599291914,1.430202518166638,0,255.51000000000002,0.009999999999990905,116.53443327232917,6.510745450828879,14.998357158514992,8.798609763353197
esc,3,28,264.65,265.84000000000003,1.1900000000000546,1,-2.0,20.524353020764178,1.627126956018543,0,265.83,0.010000000000047748,116.53443327232917,7.0622114003125445,13.04980000000001,10.0
esc,3,29,273.53000000000003,274.6,1.0699999999999932,1,-2.0,35.14823970847103,0.9293576865725584,0,274.59000000000003,0.009999999999990905,116.53443327232917,7.856494028981312,11.101242841485016,10.0
esc,3,30,282.71,283.77,1.0600000000000023,1,-2.0,18.415755995489416,1.543922075850091,0,283.76,0.009999999999990905,116.53443327232917,8.539575153748366,11.101242841485009,9.767694819415274
esc,3,31,291.34000000000003,291.54,0.19999999999998863,1,-2.0,29.7875532012559,0.8249910955457977,0,291.53000000000003,0.009999999999990905,116.53443327232917,8.807,13.049799999999989,8.515
esc,4,1,4.49,5.55,1.0599999999999996,1,-2.0,20.027564523967488,1.5816033776965894,0,5.54,0.009999999999999787,124.01560812484435,7.607,13.0498,10.0
esc,4,2,14.68,15.06,0.3800000000000008,1,-2.0,21.372749464592427,0.7031023429824952,0,15.05,0.009999999999999787,124.01560812484435,8.362184469259805,14.998357158514986,10.0
esc,4,3,23.02,24.11,1.0899999999999999,1,-2.0,31.439745042256195,1.0045254965804151,0,24.1,0.00999999999999801,124.01560812484435,8.780777120880566,14.998357158514988,10.0
esc,4,4,30.490000000000002,30.6,0.10999999999999943,1,-2.0,24.849344539620176,0.9907347407061948,0,30.59,0.010000000000001563,124.01560812484435,8.67620782902604,13.0498,8.676855311580274
esc,4,5,35.83,36.07,0.240000000000002,1,-2.0,34.84666521128604,0.6008739381830903,0,36.06,0.00999999999999801,124.01560812484435,8.095083971690961,11.101242841485014,9.127138900345676
