method,seed,event,fell,n_win,dur,J,J_vx,J_pitch,J_roll,J_vy,mean_vx,const,V_old
noadapt,5,3,0,1000,10.0,-1.0815302445275814,0.6392575062366699,0.0005166438346225742,0.03481499741261829,,0.28457280859158696,-1.7561193920114921,0.09263265109790103
noadapt,6,1,1,1000,10.0,5.015624106015938,6.4117509554598895,0.019535052291951533,0.3404574902755887,,-0.37048215535856993,-1.7561193920114921,-2.0
noadapt,6,2,1,1000,10.0,-0.10029473541985379,1.3108777088776038,0.0023253295409814438,0.3426216181730531,,0.2379778212506101,-1.7561193920114921,-2.0
noadapt,6,3,1,648,6.48,-0.3212721443519766,0.9167714978191667,0.04434386767484941,0.4737318821654995,,0.33472684231456834,-1.7561193920114921,-2.0
noadapt,6,4,1,596,5.96,0.07217221548229524,1.237435737048725,0.006556614928064877,0.5842992555169974,,0.31129024270619027,-1.7561193920114921,-2.0
noadapt,6,5,1,1000,10.0,5.149656432384678,6.562820684961291,0.006968758145919162,0.3359863812889604,,-0.35039429515258125,-1.7561193920114921,-2.0
noadapt,6,6,1,1000,10.0,0.32834153463737703,1.721949691550296,0.0013930374026808264,0.36111819769589215,,0.15516203390833014,-1.7561193920114921,-2.0
noadapt,6,7,1,1000,10.0,2.8175635817942433,4.217117730931883,0.02935807686030391,0.3272071660135486,,-0.19164656238821942,-1.7561193920114921,-2.0
noadapt,6,8,0,1000,10.0,5.6906755826929505,7.407803871728338,0.0008749267134627803,0.038116176262641965,,-0.4386929647348037,-1.7561193920114921,-0.5028808953803363
noadapt,7,1,1,1000,10.0,0.09314940391869264,1.4860503292599214,0.0035881871695133323,0.35963027950074994,,0.13024077383414673,-1.7561193920114921,-2.0
noadapt,7,2,1,1000,10.0,5.414642204412537,6.830577299688294,0.0015753521580534587,0.3386089445776814,,-0.37448490701671033,-1.7561193920114921,-2.0
noadapt,7,3,1,1000,10.0,2.9105396319344083,4.321035125462496,0.0012318959306745275,0.3443920025527306,,-0.2090426251485862,-1.7561193920114921,-2.0
noadapt,7,4,0,140,1.4000000000000001,-1.1260651603105032,0.5503969812041837,0.002194012899726862,0.07746323759707836,,0.38138086514349284,-1.7561193920114921,0.09903901783799884
noadapt,8,1,1,1000,10.0,2.592771079398671,3.9917278104370286,0.01648607573860755,0.34067658523452643,,-0.17649452956462142,-1.7561193920114921,-2.0
noadapt,8,2,1,1000,10.0,0.16914560783504218,1.563408771486757,0.007228868923801397,0.354627359435976,,0.17075728599021098,-1.7561193920114921,-2.0
noadapt,8,3,1,1000,10.0,-0.18507109624427076,1.2190783218268668,0.005197526444213734,0.3467724474961409,,0.17485841332338448,-1.7561193920114921,-2.0
noadapt,8,4,1,1000,10.0,5.097343853383212,6.5150694455060245,0.010234566448698192,0.3281592334399803,,-0.34864337193395,-1.7561193920114921,-2.0
noadapt,8,5,1,547,5.47,0.06052410005587472,1.1911242551749988,0.0020618087347821913,0.6234574281575861,,0.33478744546166,-1.7561193920114921,-2.0
noadapt,8,6,0,1000,10.0,5.9872773525231135,7.711368618833558,0.0005014334385878049,0.03152669226245987,,-0.4609863915416929,-1.7561193920114921,-0.4583499904963941
noadapt,9,1,1,1000,10.0,0.4352443886493411,1.817362610681063,0.029651266520943426,0.34434990345882693,,0.12437617395940717,-1.7561193920114921,-2.0
noadapt,9,2,1,1000,10.0,2.898320997627543,4.277207784873261,0.016480443888458464,0.3607521608773161,,-0.1997306997805582,-1.7561193920114921,-2.0
noadapt,9,3,1,854,8.540000000000001,-0.06794612886890627,1.2452524277833568,0.02832771977361639,0.4145931155856126,,0.30177159075691273,-1.7561193920114921,-2.0
noadapt,9,4,1,1000,10.0,-0.15525119042654567,1.2597273072815784,0.013241050254787782,0.32789984404858025,,0.24733272788159882,-1.7561193920114921,-2.0
noadapt,9,5,0,1000,10.0,0.7222860080022744,2.4460423298395235,0.0004895099341428104,0.031873560240100185,,-0.03164543871061407,-1.7561193920114921,-0.4590630507044363
noadapt,10,1,1,1000,10.0,-0.38279471669898624,1.0182362387909274,0.005848420586435723,0.34924001593514276,,0.3347679029300129,-1.7561193920114921,-2.0
noadapt,10,2,1,908,9.08,-0.2588699012415421,1.109244547041391,0.006482347754748082,0.38152259597381105,,0.3160481444813242,-1.7561193920114921,-2.0
noadapt,10,3,1,1000,10.0,-0.16275439104346123,1.2382018346135708,0.0011315667563001556,0.35403159959816005,,0.24628221551886428,-1.7561193920114921,-2.0
noadapt,10,4,1,1000,10.0,3.1667468712742024,4.503231937050199,0.03307315798687099,0.38656116824862474,,-0.21863095185824968,-1.7561193920114921,-2.0
noadapt,10,5,1,1000,10.0,4.722490892064796,6.102731257206839,0.03730564683444626,0.3385733800350023,,-0.35016046782621557,-1.7561193920114921,-2.0
noadapt,10,6,1,1000,10.0,5.889327077949567,7.2699937714115315,0.02394676301292041,0.35150593553660703,,-0.4197364968838244,-1.7561193920114921,-2.0
noadapt,10,7,1,1000,10.0,0.16451460484298752,1.5539829041957713,0.0026367089100712716,0.36401438374863715,,0.19142100949143992,-1.7561193920114921,-2.0
noadapt,10,8,0,1000,10.0,2.889245236904697,4.593867946086811,0.0013074645471067236,0.050189218282272234,,-0.2324574465931988,-1.7561193920114921,-0.5592890368873314
noadapt,11,1,1,1000,10.0,2.3718607921778685,3.74851786902331,0.024961780973967337,0.35450053419208327,,-0.14919462321699375,-1.7561193920114921,-2.0
noadapt,11,2,1,1000,10.0,3.9466713435820826,5.337192482389193,0.0008418882046571553,0.3647563649997242,,-0.2964698114384445,-1.7561193920114921,-2.0
noadapt,11,3,1,1000,10.0,5.546899162644721,6.95478978035996,0.00691361219376094,0.34131516210249185,,-0.3977935996398326,-1.7561193920114921,-2.0
