method,seed,event,onset,detect,latency,fell,V,tilt_rms,dist,false_alarm,request_t,compute_latency,trial_dist,coupling,w_swing,F_FAST,STOP,b
noadapt,18,6,220.29,221.68,1.3900000000000148,1,-2.0,10.596935308100154,4.126557022144411,0,221.67000000000002,0.009999999999990905,26.005354491517334,7.607,13.0498,52.4044,0.5,10.0
noadapt,18,7,255.62,257.16,1.5400000000000205,0,-0.5616342704394446,4.323110384426246,-2.6746862992413263,0,257.15,0.010000000000047748,26.005354491517334,7.607,13.0498,52.4044,0.5,10.0
noadapt,19,1,4.49,5.7,1.21,1,-2.0,10.162673306108312,-3.4850185891567165,0,5.69,0.009999999999999787,22.785275409519905,7.607,13.0498,52.4044,0.5,10.0
noadapt,19,2,73.10000000000001,74.41,1.309999999999988,1,-2.0,10.235526863163512,-4.611544445547484,0,74.4,0.009999999999990905,22.785275409519905,7.607,13.0498,52.4044,0.5,10.0
noadapt,19,3,124.64,125.9,1.2600000000000051,1,-2.0,10.484782413919405,5.289934427030038,0,125.89,0.010000000000005116,22.785275409519905,7.607,13.0498,52.4044,0.5,10.0
noadapt,19,4,220.59,221.78,1.1899999999999977,1,-2.0,10.185635824194568,2.3980463958792804,0,221.77,0.009999999999990905,22.785275409519905,7.607,13.0498,52.4044,0.5,10.0
noadapt,19,5,256.13,257.03000000000003,0.9000000000000341,1,-2.0,10.356590751508962,5.14492927995588,0,257.02,0.010000000000047748,22.785275409519905,7.607,13.0498,52.4044,0.5,10.0
noadapt,19,6,283.62,284.83,1.2099999999999795,0,0.08174857604098335,3.429682222318292,5.48404474249508,0,284.82,0.009999999999990905,22.785275409519905,7.607,13.0498,52.4044,0.5,10.0
noadapt,20,1,4.49,5.72,1.2299999999999995,1,-2.0,10.364568461240596,3.9820954730379143,0,5.69,0.02999999999999936,19.274479313858023,7.607,13.0498,52.4044,0.5,10.0
noadapt,20,2,38.82,40.12,1.2999999999999972,1,-2.0,10.126407299934975,-3.4284141676177216,0,40.11,0.00999999999999801,19.274479313858023,7.607,13.0498,52.4044,0.5,10.0
noadapt,20,3,93.85000000000001,93.96000000000001,0.10999999999999943,1,-2.0,10.234520386113836,-0.04527219979378838,0,93.95,0.010000000000005116,19.274479313858023,7.607,13.0498,52.4044,0.5,10.0
noadapt,20,4,128.07,129.25,1.1800000000000068,1,-2.0,10.043536220868134,4.683307261169496,0,129.24,0.009999999999990905,19.274479313858023,7.607,13.0498,52.4044,0.5,10.0
noadapt,20,5,155.72,157.07,1.3499999999999943,1,-2.0,10.440486299019877,-2.7262357441955523,0,157.06,0.009999999999990905,19.274479313858023,7.607,13.0498,52.4044,0.5,10.0
noadapt,21,1,4.49,6.71,2.2199999999999998,1,-2.0,22.88913309152398,1.609482095743973,0,5.78,0.9299999999999997,19.163907718502728,7.607,13.0498,52.4044,0.5,10.0
noadapt,21,2,12.73,13.38,0.6500000000000004,1,-2.0,10.21548872532254,1.3627005209965644,0,13.370000000000001,0.009999999999999787,19.163907718502728,7.607,13.0498,52.4044,0.5,10.0
noadapt,21,3,191.77,193.08,1.3100000000000023,1,-2.0,10.212712113850856,3.4399121657368976,0,193.07,0.010000000000019327,19.163907718502728,7.607,13.0498,52.4044,0.5,10.0
noadapt,21,4,224.36,225.65,1.289999999999992,1,-2.0,10.665042389064388,-0.6658750544848768,0,225.64000000000001,0.009999999999990905,19.163907718502728,7.607,13.0498,52.4044,0.5,10.0
