seed,keep_CoT,keep_J,keep_J_track,keep_dist,keep_fell,keep_mean_vx,keep_rms_pitch,keep_rms_roll,keep_t_fall,prefix_gap,reason,switch_CoT,switch_J,switch_J_track,switch_dist,switch_fast_CoT,switch_fast_J,switch_fast_J_track,switch_fast_dist,switch_fast_fell,switch_fast_mean_vx,switch_fast_rms_pitch,switch_fast_rms_roll,switch_fast_t_fall,switch_fell,switch_mean_vx,switch_rms_pitch,switch_rms_roll,switch_t_fall,valid,y10
19,1.7302478311990093,7.0013574116476365,7.866481327247141,4.51989561424496,False,0.45198956142449603,2.6044148563415392,10.24106509237822,nan,0.0,,2.0314301303219326,7.001569459383779,8.017284524544745,4.769543142148817,2.5935404568482405,4.4036936830408315,5.700463911464952,6.332949958470084,False,0.6332949958470092,1.955532183631597,10.828778417804122,nan,False,0.4769543142148801,2.0309682928559947,10.291493752570315,nan,1,5.118364970956033
20,1.6834391978414547,7.251636353666779,8.093355952587507,4.598325395484196,False,0.4598325395484179,0.6904209674688964,10.332339689152505,nan,0.0,,2.1083841847238003,6.65874545713094,7.71293754949284,4.779435552454716,2.6126568202737777,4.57919296773634,5.8855213778732285,6.235485078733811,False,0.623548507873383,2.7282249635275453,10.773698859629627,nan,False,0.47794355524547116,1.7356631596191707,10.414627409119877,nan,1,5.12834773728456
21,1.6974433933345974,7.151361402380718,8.000083099048016,4.6059361736078674,False,0.4605936173607829,0.9140777728708551,10.316864971931581,nan,0.0,,2.1133597769847086,6.636298088152166,7.69297797664452,4.752597379732045,2.651665832586884,4.341955617011906,5.667788533305348,6.303612182877387,False,0.6303612182877368,2.0714933075507687,10.808328176969338,nan,False,0.4752597379732051,1.3922600288316869,10.348786962548317,nan,1,5.045814321934101
22,1.703894212954437,7.0702642116979035,7.922211318175122,4.5297193762114105,False,0.45297193762114046,2.2450566639395686,10.058955033317828,nan,0.0,,2.4261581748323167,-50.0,6.280273256581144,3.788178241189355,2.7434209277289066,5.071168721158282,6.4428791850227345,5.890477710884651,False,0.5890477710884651,4.71070980505156,10.21034742851952,nan,True,0.39959686088495483,11.13834355792573,12.262621498953521,19.47,1,5.134088182088352
23,1.76562698248555,6.770969815260958,7.653783306503733,4.462457247344752,False,0.44624572473447316,2.654092577825956,10.190897292129208,nan,0.0,,1.9738128480340835,6.966768038351724,7.953674462368765,4.86556168783602,2.5544529445593644,4.620898411545442,5.8981248838251235,6.335641506109298,False,0.6335641506109311,1.5222861180728977,10.659706185873498,nan,False,0.48655616878360075,1.1750679195727614,10.19604106226892,nan,1,5.13045002364614
24,1.699532088476022,7.190531232973861,8.040297277211872,4.566759832516817,False,0.4566759832516808,1.1680849204379309,10.253848763693728,nan,0.0,,2.057545842045379,6.585570564327028,7.614343485349718,4.697121321526343,2.654084973668124,4.699253524824597,6.026296011658658,6.193551415545465,False,0.6193551415545479,3.5820655572536007,10.410211154439486,nan,False,0.4697121321526331,2.9382149632636336,10.331025518019649,nan,1,5.127515285610818
25,1.6516626034791333,7.344144640518029,8.169975942257595,4.601751235847515,False,0.4601751235847508,1.4500640196502625,10.242212079123162,nan,0.0,,1.9727688040152824,6.977221884329608,7.963606286337249,4.8475318517388475,2.496136544627409,3.9564695072907674,5.204537779604472,6.489940845508152,False,0.6489940845508164,1.670739907469411,10.798802273722728,nan,False,0.48475318517388544,1.8477258037499,10.388003131448112,nan,1,5.115764648032378
26,1.7777077525981955,6.773958354387495,7.662812230686592,4.451972976716469,False,0.44519729767164756,2.71541049689992,10.20843773581867,nan,0.0,,2.0422340913228973,6.698427175682653,7.719544221344102,4.78734128584178,2.6250314889837716,4.685087312400043,5.997603056891929,6.279918576046171,False,0.6279918576046166,2.520393469305893,10.646458845543023,nan,False,0.47873412858417824,1.5376426955923004,10.404156325305584,nan,1,5.153741808921802
27,1.9140775082385553,6.007464522476037,6.964503276595315,4.208127031036091,False,0.42081270310360797,4.482995809402571,10.141345540567295,nan,0.0,,2.0237987767243513,6.825536268228406,7.837435656590582,4.773690780694445,2.5343173093838267,4.4110506122777275,5.678209266969641,6.375636195558418,False,0.6375636195558432,2.5599906955015377,10.601322171899765,nan,False,0.47736907806944484,2.1045557227817335,10.347288450982056,nan,1,5.1204604008887395
28,1.6822723800959662,7.323904166435183,8.165040356483166,4.628864261448821,False,0.4628864261448823,0.824309280866549,10.275613892343324,nan,0.0,,2.0048875298888964,7.128007441697564,8.130451206642013,4.853537700694273,2.6515334274638946,4.473110278490314,5.798876992222261,6.16928526870725,False,0.6169285268707241,2.2957668712950756,10.958122529836295,nan,False,0.4853537700694269,1.0047615034516804,10.28785334687544,nan,1,5.146602629602237
